ModelName,meanCELoss_tr,stdCELoss_tr,meanCELoss_te,stdCELoss_te,meanAccuracy_tr,stdAccuracy_tr,meanAccuracy_te,stdAccuracy_tr,meanTime_tr,stdTime_tr
FullyConnected,9.99e-06,5.962e-06,1.402,0.2098,1.0,0.0,0.8065,0.0122,1.243,0.04788
BasicConvolutional,0.4809,0.2607,0.7368,0.08326,0.6534,0.2579,0.5723,0.1589,1.203,0.04871
BasicConvolutionalBN,0.01027,0.00117,0.5661,0.04331,0.9997,0.0007037,0.7944,0.00997,1.723,0.04192
BasicFullyConvolutional,0.378,0.2957,0.7765,0.09346,0.7539,0.2615,0.6374,0.1548,1.283,0.02855
BasicFullyConvolutionalBN,0.0105,0.00129,0.5762,0.03041,0.9999,0.0002582,0.7841,0.01207,1.737,0.03233
DropoutFullyConnected,0.002094,0.00174,1.014,0.1311,0.9997,0.0008165,0.8,0.01468,1.23,0.03033
DropoutFullyConnectedBatchNorm,0.0008337,6.651e-05,0.6319,0.05626,1.0,0.0,0.8109,0.009395,1.336,0.0146
ResNet,0.03084,0.02756,0.5999,0.1028,0.9921,0.01009,0.8264,0.01308,46.33,0.6552
SiameseNet,0.0002381,0.0002625,1.281,0.1878,1.0,0.0,0.8339,0.01487,2.07,0.07356
SiameseNetAuxiliary,0.01298,0.03963,1.461,0.3797,0.9961,0.01233,0.8346,0.02096,22.85,0.1683
SiameseNetResNet,0.09273,0.07517,0.5092,0.07822,0.9645,0.03444,0.8488,0.02714,18.53,0.1682
