ModelName,meanCELoss_tr,stdCELoss_tr,meanCELoss_te,stdCELoss_te,meanAccuracy_tr,stdAccuracy_tr,meanAccuracy_te,stdAccuracy_te,meanTime_tr,stdTime_tr
FullyConnected,0.000175,9.969e-05,1.108,0.1253,1.0,0.0,0.8005,0.01517,0.7122,0.05612
BasicConvolutional,0.4595,0.2096,0.7291,0.0759,0.6667,0.2426,0.5865,0.1593,1.024,0.03145
BasicConvolutionalBN,0.05276,0.00805,0.4765,0.02875,0.9983,0.001345,0.7925,0.0118,1.119,0.008801
BasicFullyConvolutional,0.5069,0.233,0.7082,0.06008,0.6556,0.238,0.5903,0.1529,1.074,0.007429
BasicFullyConvolutionalBN,0.05788,0.009598,0.4807,0.02138,0.9969,0.001981,0.7852,0.01182,1.211,0.006388
DropoutFullyConnected,0.0002305,7.357e-05,0.9027,0.07421,1.0,0.0,0.8051,0.01033,0.7199,0.006479
DropoutFullyConnectedBatchNorm,0.002065,0.0001413,0.5573,0.04645,1.0,0.0,0.8117,0.01151,0.7769,0.01032
ResNet,0.2453,0.1648,0.6745,0.1267,0.8875,0.08363,0.7571,0.04751,8.996,0.0324
SiameseNet,0.006933,0.01693,1.272,0.288,0.9982,0.005692,0.8226,0.01296,1.673,0.008361
SiameseNetAuxiliary,0.08249,0.09724,0.7387,0.2405,0.9696,0.04456,0.8337,0.01979,9.377,0.09021
SiameseNetResNet,0.0973,0.07042,0.47,0.08638,0.965,0.02947,0.8458,0.01724,17.99,0.2628
SiameseNetResNetAuxiliary,0.1343,0.09316,0.3431,0.07828,0.9533,0.04027,0.8693,0.02521,114.9,0.7348
FullyConnectedtanh,0.0001926,8.986e-05,1.119,0.1688,1.0,0.0,0.8027,0.01369,0.677,0.01242
BasicConvolutionaltanh,0.4328,0.2579,0.6919,0.03506,0.7083,0.2549,0.622,0.1647,0.9387,0.0007174
BasicConvolutionalBNtanh,0.05251,0.01277,0.4722,0.03062,0.996,0.003982,0.7953,0.01516,1.065,0.0007509
BasicFullyConvolutionaltanh,0.406,0.2631,0.7111,0.07096,0.6595,0.2551,0.5767,0.163,1.021,0.001402
BasicFullyConvolutionalBNtanh,0.05002,0.005439,0.4639,0.03223,0.9983,0.0009612,0.7979,0.01474,1.151,0.0004945
DropoutFullyConnectedtanh,0.0002253,7.698e-05,0.8851,0.1273,1.0,0.0,0.8077,0.01176,0.6796,0.001688
DropoutFullyConnectedBatchNormtanh,0.002015,0.0001568,0.552,0.0488,1.0,0.0,0.8132,0.01558,0.731,0.001018
FullyConnectedLeakyRelu,0.0001444,6.638e-05,1.161,0.1291,1.0,0.0,0.8021,0.01442,0.6633,0.001137
BasicConvolutionalLeakyRelu,0.456,0.2319,0.7352,0.06546,0.7059,0.2565,0.6124,0.1622,0.9387,0.0006518
BasicConvolutionalBNLeakyRelu,0.05329,0.00554,0.4754,0.02953,0.9981,0.001831,0.7949,0.01891,1.066,0.001572
BasicFullyConvolutionalLeakyRelu,0.3818,0.2921,0.7082,0.09267,0.7076,0.2569,0.6267,0.1642,1.02,0.0004651
BasicFullyConvolutionalBNLeakyRelu,0.05157,0.005818,0.4718,0.04475,0.9972,0.001821,0.7935,0.02034,1.151,0.0005611
DropoutFullyConnectedLeakyRelu,0.000251,8.152e-05,0.9589,0.09786,1.0,0.0,0.8029,0.01608,0.6798,0.002423
DropoutFullyConnectedBatchNormLeakyRelu,0.002085,0.0002394,0.5221,0.04198,1.0,0.0,0.8199,0.01244,0.7305,0.0009419
