ModelName,meanCELoss_tr,stdCELoss_tr,meanCELoss_te,stdCELoss_te,meanAccuracy_tr,stdAccuracy_tr,meanAccuracy_te,stdAccuracy_te,meanTime_tr,stdTime_tr
FullyConnected,1.629e-05,1.103e-05,1.313,0.1876,1.0,0.0,0.8077,0.01326,24.38,0.6911
BasicConvolutional,0.4802,0.2612,0.7339,0.08096,0.6639,0.1906,0.6051,0.1035,9.805,0.259
BasicConvolutionalBN,0.01027,0.001169,0.5662,0.04282,0.9999,0.0005164,0.7952,0.01069,14.86,0.4316
BasicFullyConvolutional,0.3994,0.2801,0.7741,0.09394,0.6743,0.198,0.6081,0.1012,10.84,0.1401
BasicFullyConvolutionalBN,0.01054,0.001353,0.5763,0.03061,0.9998,0.0005606,0.7852,0.0131,16.25,0.0919
DropoutFullyConnected,0.001819,0.00118,1.032,0.1132,0.9996,0.0007368,0.8019,0.01116,26.43,0.1488
DropoutFullyConnectedBatchNorm,0.0008334,4.308e-05,0.6151,0.05173,1.0,0.0,0.8099,0.01162,65.4,87.37
FullyConnectedtanh,1.569e-05,1.137e-05,1.33,0.1076,1.0,0.0,0.8102,0.01032,27.35,3.489
BasicConvolutionaltanh,0.3145,0.3308,0.8453,0.1623,0.7879,0.218,0.6651,0.1099,13.92,4.909
BasicConvolutionalBNtanh,0.01008,0.001061,0.5717,0.0478,0.9999,0.0002582,0.7916,0.01835,22.13,6.991
BasicFullyConvolutionaltanh,0.2951,0.3155,0.8154,0.09958,0.8025,0.2256,0.6781,0.1193,11.42,0.7631
BasicFullyConvolutionalBNtanh,0.01008,0.0008988,0.5507,0.03698,0.9997,0.0004577,0.7973,0.01701,16.44,1.273
DropoutFullyConnectedtanh,0.001802,0.001059,1.0,0.07472,0.9999,0.0002582,0.795,0.01281,27.12,0.691
DropoutFullyConnectedBatchNormtanh,0.0008541,7.752e-05,0.6147,0.0503,1.0,0.0,0.8133,0.01102,33.13,0.6791
FullyConnectedLeakyRelu,1.98e-05,1.122e-05,1.268,0.1544,1.0,0.0,0.8081,0.01205,28.29,0.8705
BasicConvolutionalLeakyRelu,0.3556,0.3395,0.8047,0.1419,0.7583,0.2268,0.6605,0.1173,11.01,0.5778
BasicConvolutionalBNLeakyRelu,0.01014,0.001152,0.5695,0.038,0.9997,0.0004577,0.7911,0.01347,16.97,0.2505
BasicFullyConvolutionalLeakyRelu,0.4244,0.3178,0.7827,0.1261,0.7233,0.2237,0.6423,0.09696,11.35,0.619
BasicFullyConvolutionalBNLeakyRelu,0.01018,0.001112,0.5633,0.04987,0.9999,0.0005164,0.7953,0.01942,15.43,1.574
DropoutFullyConnectedLeakyRelu,0.0018,0.0008136,1.019,0.1237,0.9998,0.000414,0.8027,0.01623,25.73,1.028
DropoutFullyConnectedBatchNormLeakyRelu,0.0008698,8.096e-05,0.617,0.05685,1.0,0.0,0.8151,0.01447,29.98,0.3187
