ModelName,meanCELoss_tr,stdCELoss_tr,meanCELoss_te,stdCELoss_te,meanAccuracy_tr,stdAccuracy_tr,meanAccuracy_te,stdAccuracy_tr,meanTime_tr,stdTime_tr
FullyConnected,9.99e-06,5.962e-06,1.402,0.2098,1.0,0.0,0.8065,0.0122,1.243,0.04788
BasicConvolutional,0.4809,0.2607,0.7368,0.08326,0.6534,0.2579,0.5723,0.1589,1.203,0.04871
BasicConvolutionalBN,0.01027,0.00117,0.5661,0.04331,0.9997,0.0007037,0.7944,0.00997,1.723,0.04192
BasicFullyConvolutional,0.378,0.2957,0.7765,0.09346,0.7539,0.2615,0.6374,0.1548,1.283,0.02855
BasicFullyConvolutionalBN,0.0105,0.00129,0.5762,0.03041,0.9999,0.0002582,0.7841,0.01207,1.737,0.03233
DropoutFullyConnected,0.002094,0.00174,1.014,0.1311,0.9997,0.0008165,0.8,0.01468,1.23,0.03033
DropoutFullyConnectedBatchNorm,0.0008337,6.651e-05,0.6319,0.05626,1.0,0.0,0.8109,0.009395,1.336,0.0146
ResNet,0.03084,0.02756,0.5999,0.1028,0.9921,0.01009,0.8264,0.01308,46.33,0.6552
SiameseNet,0.0002381,0.0002625,1.281,0.1878,1.0,0.0,0.8339,0.01487,2.07,0.07356
SiameseNetAuxiliary,0.01298,0.03963,1.461,0.3797,0.9961,0.01233,0.8346,0.02096,22.85,0.1683
SiameseNetResNet,0.09273,0.07517,0.5092,0.07822,0.9645,0.03444,0.8488,0.02714,18.53,0.1682
SiameseNetResNetAuxiliary,0.001389,0.001366,0.5094,0.04399,1.0,0.0,0.8863,0.01961,279.5,2.372
FullyConnectedtanh,9.99e-06,5.962e-06,1.402,0.2098,1.0,0.0,0.8065,0.0122,1.235,0.03386
BasicConvolutionaltanh,0.4796,0.262,0.7432,0.08456,0.653,0.2576,0.5724,0.1587,1.175,0.0436
BasicConvolutionalBNtanh,0.01028,0.001175,0.566,0.04348,0.9997,0.0007037,0.7945,0.01047,1.708,0.0246
BasicFullyConvolutionaltanh,0.4,0.2799,0.7617,0.08779,0.7529,0.2602,0.6366,0.1541,1.245,0.009484
BasicFullyConvolutionalBNtanh,0.01051,0.001301,0.5771,0.02979,0.9999,0.0002582,0.7841,0.01109,1.705,0.05815
DropoutFullyConnectedtanh,0.002094,0.00174,1.014,0.1311,0.9997,0.0008165,0.8,0.01468,1.251,0.002347
DropoutFullyConnectedBatchNormtanh,0.0008337,6.651e-05,0.6319,0.05626,1.0,0.0,0.8109,0.009395,1.324,0.002502
FullyConnectedLeakyRelu,9.99e-06,5.962e-06,1.402,0.2098,1.0,0.0,0.8065,0.0122,1.239,0.05013
BasicConvolutionalLeakyRelu,0.48,0.261,0.7428,0.08644,0.6532,0.2577,0.5708,0.1569,1.174,0.05195
BasicConvolutionalBNLeakyRelu,0.01018,0.001077,0.5662,0.04393,0.9998,0.0005606,0.7943,0.01082,1.715,0.04232
BasicFullyConvolutionalLeakyRelu,0.3785,0.2954,0.7751,0.09016,0.7549,0.2619,0.6376,0.1549,1.243,0.02246
BasicFullyConvolutionalBNLeakyRelu,0.01053,0.001336,0.5766,0.03089,0.9999,0.0003519,0.7842,0.01198,1.725,0.05652
DropoutFullyConnectedLeakyRelu,0.002094,0.00174,1.014,0.1311,0.9997,0.0008165,0.8,0.01468,1.252,0.002975
DropoutFullyConnectedBatchNorm,0.0008337,6.651e-05,0.6319,0.05626,1.0,0.0,0.8109,0.009395,1.324,0.00211
